Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00044497,0.0014075,0.011411,0,0,0,0.042631,2.6758E-05,-6.522E-07,2.4559E-08,2.5173E-05,6.9831E-08,4.522E-05,0,0,0,0,0,0,package://manipulator_urdf/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://manipulator_urdf/meshes/base_link.STL,,link1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_plate,-0.0016083,0.0017587,0.012046,0,0,0,0.043625,1.5463E-05,1.5928E-06,1.1037E-06,1.9044E-05,-1.4228E-06,2.5484E-05,0,0,0,0,0,0,package://manipulator_urdf/meshes/base_plate.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://manipulator_urdf/meshes/base_plate.STL,,link2-1,Origin_base_link_to_base_plate,Axis_base_link_to_base_plate,base_link_to_base_plate,revolute,0,0,0.031,0,0,0,base_link,0,0,1,30,10,-1.5708,1.5708,,,,,,,,
forward_drive_arm_Link,-0.0046735,0.0051251,0.033408,0,0,0,0.013063,9.3913E-06,2.2846E-08,1.4619E-07,9.8356E-06,-1.3557E-06,1.2317E-06,0,0,0,0,0,0,package://manipulator_urdf/meshes/forward_drive_arm_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://manipulator_urdf/meshes/forward_drive_arm_Link.STL,,link3-1,Origin_base_plate_to_forward_drive_arm,Axis_base_plate_to_forward_drive_arm,base_plate_to_forward_drive_arm,revolute,0,0,0.0349,0,0,0,base_plate,1,0,0,30,10,-1.5708,1.5708,,,,,,,,
horizontal_arm_Link,-0.0022984,-0.051724,0.0036581,0,0,0,0.0087562,1.1998E-05,4.2849E-10,-2.1998E-11,2.2054E-07,6.0377E-07,1.1857E-05,0,0,0,0,0,0,package://manipulator_urdf/meshes/horizontal_arm_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://manipulator_urdf/meshes/horizontal_arm_Link.STL,,link4-1,Origin_forward_drive_armto_horizontal_arm,Axis_forward_drive_armto_horizontal_arm,forward_drive_armto_horizontal_arm,revolute,0,0.012165,0.07907,0,0,0,forward_drive_arm_Link,-1,0,0,30,10,-1.5708,1.5708,,,,,,,,
claw_support_Link,-0.0033141,-0.013342,-0.0049958,0,0,0,0.0066694,2.254E-06,4.0671E-08,1.2764E-07,1.1079E-06,-3.6729E-07,1.7502E-06,0,0,0,0,0,0,package://manipulator_urdf/meshes/claw_support_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://manipulator_urdf/meshes/claw_support_Link.STL,,link5-1,Origin_horizontal_arm_to_claw_support,Axis_horizontal_arm_to_claw_support,horizontal_arm_to_claw_support,fixed,0,-0.11477,0.0071825,0,0,0,horizontal_arm_Link,1,0,0,0,0,0,0,,,,,,,,
gripper_right_Link,0.0023939,-0.018367,-0.0069277,0,0,0,0.0014646,4.3292E-07,3.2675E-08,-3.933E-09,2.4067E-08,1.7241E-08,4.4796E-07,0,0,0,0,0,0,package://manipulator_urdf/meshes/gripper_right_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://manipulator_urdf/meshes/gripper_right_Link.STL,,link6-1,Origin_claw_support_to_gripper_right,Axis_claw_support_to_gripper_right,claw_support_to_gripper_right,revolute,-0.0113,-0.014515,-0.0091654,0,0,0,claw_support_Link,0,0,1,30,10,-1.57079632679,0,,,,,,,,
gripper_left_Link,-0.0021875,-0.019421,-0.0068857,0,0,0,0.0013895,4.0273E-07,-2.1282E-08,3.4894E-09,2.2299E-08,1.6148E-08,4.1619E-07,0,0,0,0,0,0,package://manipulator_urdf/meshes/gripper_left_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://manipulator_urdf/meshes/gripper_left_Link.STL,,link7-1,Origin_claw_support_to_gripper_left,Axis_claw_support_to_gripper_left,claw_support_to_gripper_left,revolute,0.0068024,-0.014517,-0.0093651,0,0,0,claw_support_Link,0,0,1,30,10,0,1.57079632679,,,,,,,,
